Social Concept,Concept ID,# Artwork Matches,# Related Tags,Avg. Freq. of Related Tags,# CO Objects,# CO Actions,Top 10 Objects,Avg_Freq_Top_Objects,Top 10 Actions,Avg_Freq_Top_Actions
death , 722 , 368 , 1455 , 7.756701030927835 , 288 , 38 , man woman religious and ceremonial clothing and personal effects furnishings male weapons female fine arts and music sea , 71.1 , standing lying down reclining supporting embracing sitting flying kneeling carrying sleeping , 14.5
destruction , 1715 , 262 , 955 , 7.9089005235602095 , 166 , 26 , sea storm wave man figure coast woman smoke rocky cliff , 42.0 , sitting floating rescuing kneeling standing carrying watching crouching death supporting , 4.7
caricature , 847 , 260 , 985 , 6.299492385786802 , 201 , 31 , man clothing and personal effects woman hat fine arts and music furnishings reading writing printed matter kitchen vessels and containers chair , 58.0 , standing sitting talking smiling watching walking pointing reclining flying shouting , 15.0
humour , 5443 , 235 , 1083 , 5.620498614958449 , 278 , 28 , man clothing and personal effects woman furnishings reading writing printed matter fine arts and music fine art and design named works poster vessels and containers food and drink , 39.9 , sitting standing smiling talking kneeling watching reclining walking holding hands washing , 8.4
cultural identity , 12833 , 204 , 630 , 9.86984126984127 , 140 , 21 , fine art and design named works man clothing and personal effects furnishings woman girl boy tools and machinery chair domestic , 46.1 , standing sitting embracing carrying hands clasped head in hand/hands watching hand/hands on hip kissing holding hands , 9.1
war , 3592 , 197 , 803 , 7.095890410958904 , 162 , 20 , man clothing and personal effects uniform weapons fine arts and music woman reading writing printed matter sheep skull animal/human , 28.0 , carrying kneeling sitting standing weeping lying down pointing screaming crouching sleeping , 2.9
eroticism , 6730 , 196 , 655 , 7.418320610687023 , 163 , 30 , woman female clothing and personal effects man furnishings male food and drink reading writing printed matter shoe underwear , 50.2 , sitting standing reclining embracing smiling walking lying down watching legs crossed leg/legs raised , 12.5
irony , 1704 , 190 , 766 , 6.617493472584856 , 183 , 13 , reading writing printed matter woman clothing and personal effects man wooded furnishings fine art and design named works product packaging medical medicine , 24.2 , standing sitting smiling reclining crouching carrying kneeling twisting leg/legs raised hand/hands on hip , 4.3
satire , 843 , 163 , 1153 , 5.212489158716392 , 243 , 30 , man woman reading writing printed matter clothing and personal effects fine arts and music newspaper 'L'Osservatore Romano' furnishings weapons female male , 45.2 , standing sitting talking flying walking watching carrying pointing reclining fleeing , 10.3
gender , 863 , 154 , 655 , 6.222900763358779 , 164 , 20 , woman clothing and personal effects reading writing printed matter poster furnishings food and drink man female chair vessels and containers , 30.5 , sitting standing crouching watching hand/hands on hip walking carrying kneeling leg/legs raised looking up , 5.6
human rights , 18270 , 148 , 497 , 10.138832997987928 , 106 , 18 , reading writing printed matter newspaper - non-specific man newspaper 'L'Osservatore Romano' fine arts and music woman print fine art and design named works male clothing and personal effects , 41.5 , flying protecting sitting standing fleeing talking running recoiling feeding hands clasped , 2.5
horror , 795 , 146 , 709 , 6.617771509167842 , 138 , 30 , man clothing and personal effects woman uniform animal/human reading writing printed matter male fine arts and music monster medical , 33.5 , standing sitting recoiling watching lying down screaming carrying hand/hands raised embracing fleeing , 6.0
transformation , 5930 , 143 , 784 , 4.468112244897959 , 188 , 21 , woman man figure clothing and personal effects female furnishings fine arts and music fine art and design named works male vessels and containers , 20.0 , standing reclining sitting fleeing running flying embracing hand/hands raised recoiling smiling , 5.3
anxiety , 758 , 140 , 734 , 4.94141689373297 , 174 , 29 , woman man clothing and personal effects shadow furnishings girl sea night figure beach , 21.3 , sitting standing holding hands watching talking head in hand/hands looking down sleeping kneeling embracing , 7.5
race , 1171 , 140 , 497 , 7.641851106639839 , 83 , 12 , man reading writing printed matter religious and ceremonial woman poster clothing and personal effects female figure fine art and design named works hill , 19.0 , standing lying down kneeling sitting watching fleeing carrying reclining washing leg/legs raised , 2.9
memory , 6852 , 136 , 651 , 5.863287250384024 , 159 , 17 , woman man furnishings shadow clothing and personal effects fine arts and music domestic tools and machinery fine art and design named works sea , 21.6 , holding hands standing carrying sitting sleeping embracing watching kneeling washing crouching , 4.1
contemplation , 2209 , 129 , 782 , 4.7851662404092075 , 189 , 24 , woman clothing and personal effects man furnishings reading writing printed matter fine arts and music girl book - non-specific wooded table , 27.0 , sitting standing head in hand/hands watching reclining looking down legs crossed crouching embracing looking up , 13.1
love , 3008 , 126 , 864 , 4.8344907407407405 , 192 , 30 , woman man wooded clothing and personal effects female fine arts and music furnishings male religious and ceremonial reading writing printed matter , 35.0 , sitting embracing standing watching talking kissing holding hands flying kneeling reclining , 14.5
decay , 2353 , 123 , 594 , 5.37037037037037 , 138 , 14 , furnishings man domestic woman clothing and personal effects wooded refuse figure root food and drink , 13.6 , standing sitting crouching walking lying down reclining sleeping watching pointing shouting , 2.7
violence , 1968 , 121 , 401 , 7.640897755610973 , 77 , 12 , reading writing printed matter newspaper - non-specific man woman weapons tools and machinery clothing and personal effects male gun handgun dog - non-specific , 19.5 , reclining death flying embracing protecting lying down sleeping twisting carrying running , 1.2
vulnerability , 3545 , 116 , 567 , 4.911816578483245 , 122 , 23 , woman man clothing and personal effects female furnishings root male girl shadow sea , 16.1 , standing crouching sitting death head in hand/hands hand/hands raised looking up talking flying looking down , 5.0
suffering , 12977 , 113 , 575 , 5.121739130434783 , 94 , 26 , man figure woman clothing and personal effects male domestic pin reading writing printed matter jumper furnishings , 17.5 , shouting sitting screaming lying down looking up standing carrying crouching weeping kneeling , 5.9
menace , 3981 , 103 , 719 , 3.956884561891516 , 163 , 20 , man clothing and personal effects woman figure furnishings weapons reading writing printed matter tools and machinery rocky mask , 12.3 , crouching standing sitting reclining hand/hands raised looking up pointing kneeling flying sleeping , 3.3
